,question,questiontype,keyword
752,"(list,VERB) (the,DET) (trainers,NOUN) (of,ADP) (shinya,PROPN,B-PER)  (aoki,PROPN,E-PER)  (?,.)",list,"trainers,Shinya Aoki"
753,"(list,VERB) (the,DET) (trainers,NOUN) (of,ADP) (shinya,PROPN,B-PER)  (aoki,PROPN,E-PER)  (?,.)",List,"List, trainers, Shinya Aoki"
754,"(what,PRON) (is,VERB) (the,DET) (draft,NOUN) (team,NOUN) (of,ADP) (gene,PROPN,B-PER)  (conley,PROPN,E-PER)  (?,.)",what,"draft team, Gene Conley"
755,"(what,PRON) (is,VERB) (the,DET) (draft,NOUN) (team,NOUN) (of,ADP) (gene,PROPN,B-PER)  (conley,PROPN,E-PER)  (?,.)",WHAT,"DRAFT, TEAM, GENE, CONLEY"
756,"(alexander,PROPN,B-PER)  (magleby,,PROPN,E-PER)  (a,DET) (rugby,NOUN) (player,NOUN) (is,VERB) (alma,NOUN) (mater,NOUN) (to,ADP) (which,PRON) (university,NOUN) (?,.)",Which,"Alexander Magleby, rugby player, university"
757,"(alexander,PROPN,B-PER)  (magleby,,PROPN,E-PER)  (a,DET) (rugby,NOUN) (player,NOUN) (is,VERB) (alma,NOUN) (mater,NOUN) (to,ADP) (which,PRON) (university,NOUN) (?,.)",Which,"university, Alexander Magleby, rugby player, alma mater"
758,"(which,PRON) (groups,NOUN) (was,VERB) (david,ADJ) (bowie,NOUN) (a,DET) (member,NOUN) (of,ADP) (?,.)",which,"groups, david bowie, member of"
759,"(which,PRON) (groups,NOUN) (was,VERB) (david,ADJ) (bowie,NOUN) (a,DET) (member,NOUN) (of,ADP) (?,.)",Which,"groups, david bowie, member"
760,"(what,PRON) (was,VERB) (a,DET) (common,ADJ) (first,ADJ) (team,NOUN) (at,ADP) (the,DET) (1967,NUM) (mexican,PROPN,B-MISC)  (grand,PROPN,I-MISC)  (prix,PROPN,E-MISC)  (and,CCONJ) (1971,NUM) (us,PROPN,S-LOC)  (one,NUM) (?,.)",what,"common, team, 1967 Mexican Grand Prix, 1971 US"
761,"(what,PRON) (was,VERB) (a,DET) (common,ADJ) (first,ADJ) (team,NOUN) (at,ADP) (the,DET) (1967,NUM) (mexican,PROPN,B-MISC)  (grand,PROPN,I-MISC)  (prix,PROPN,E-MISC)  (and,CCONJ) (1971,NUM) (us,PROPN,S-LOC)  (one,NUM) (?,.)",What,"common, first, team, 1967, Mexican Grand Prix, 1971 US"
762,"(give,VERB) (me,PRON) (the,DET) (present,ADJ) (members,NOUN) (of,ADP) (the,DET) (?,.)",List,"Present members, cure"
763,"(give,VERB) (me,PRON) (the,DET) (present,ADJ) (members,NOUN) (of,ADP) (the,DET) (?,.)",Who,"Present Members, The Cure"
764,"(what,PRON) (do,VERB) (typically,ADV) (ngos,PROPN) (work,VERB) (for,ADP) (?,.)",What,"typically, NGOs, work"
765,"(what,PRON) (do,VERB) (typically,ADV) (ngos,PROPN) (work,VERB) (for,ADP) (?,.)",What,"NGOs, work"
766,"(is,VERB) (amharic,PROPN,S-PER)  (the,DET) (official,ADJ) (language,NOUN) (of,ADP) (ethiopia,PROPN,S-LOC)  (?,.)",Yes/No,"Amharic, official language, Ethiopia"
767,"(is,VERB) (amharic,PROPN,S-PER)  (the,DET) (official,ADJ) (language,NOUN) (of,ADP) (ethiopia,PROPN,S-LOC)  (?,.)",Yes/No,"Amharic,official language,Ethiopia"
768,"(on,ADP) (which,PRON) (island,NOUN) (did,VERB) (the,DET) (national,ADJ) (poet,NOUN) (of,ADP) (greece,PROPN,S-LOC)  (die,VERB) (?,.)",Which,"Island, national poet, Greece, die"
769,"(on,ADP) (which,PRON) (island,NOUN) (did,VERB) (the,DET) (national,ADJ) (poet,NOUN) (of,ADP) (greece,PROPN,S-LOC)  (die,VERB) (?,.)",which,"Greece, die, island, national poet"
770,"(what,PRON) (are,VERB) (some,DET) (common,ADJ) (ingredients,NOUN) (used,VERB) (in,ADP) (swedish,ADJ,S-MISC)  (dishes,NOUN) (?,.)",What,"Ingredients,Swedish dish"
771,"(what,PRON) (are,VERB) (some,DET) (common,ADJ) (ingredients,NOUN) (used,VERB) (in,ADP) (swedish,ADJ,S-MISC)  (dishes,NOUN) (?,.)",WHAT,"COMMON, INGREDIENTS, SWEDISH, DISHES"
772,"(how,ADV) (many,ADJ) (albums,NOUN) (did,VERB) (amy,ADJ) (macdonald,NOUN) (release,NOUN) (?,.)",How,"albums, amy macdonald, release"
773,"(how,ADV) (many,ADJ) (albums,NOUN) (did,VERB) (amy,ADJ) (macdonald,NOUN) (release,NOUN) (?,.)",How many,"albums, amy macdonald"
774,"(what,PRON) (sport,NOUN) (played,VERB) (at,ADP) (islamic,PROPN,S-MISC)  (azad,PROPN) (uni,PROPN) (employes,VERB) (craig,PROPN,B-PER)  (van,PROPN,I-PER)  (tilbury,PROPN,E-PER)  (?,.)",What,"sport, Islamic azad uni, Craig Van Tilbury"
775,"(what,PRON) (sport,NOUN) (played,VERB) (at,ADP) (islamic,PROPN,S-MISC)  (azad,PROPN) (uni,PROPN) (employes,VERB) (craig,PROPN,B-PER)  (van,PROPN,I-PER)  (tilbury,PROPN,E-PER)  (?,.)",What,"sport, Islamic azad uni, Craig Van Tilbury"
776,"(what,PRON) (does,VERB) (the,DET) (river,NOUN) (end,VERB) (on,ADP) (whose,PRON) (border,NOUN) (we,PRON) (find,VERB) (in,ADP) (bjelasnica,PROPN,S-LOC)  (?,.)",What,"the river, border, find, Bjelasnica"
777,"(what,PRON) (does,VERB) (the,DET) (river,NOUN) (end,VERB) (on,ADP) (whose,PRON) (border,NOUN) (we,PRON) (find,VERB) (in,ADP) (bjelasnica,PROPN,S-LOC)  (?,.)",What,"river, border, Bjelasnica"
778,"(list,VERB) (the,DET) (products,NOUN) (of,ADP) (the,DET) (company,NOUN) (which,PRON) (published,VERB) (tweenies:,PROPN,B-MISC)  (game,PROPN,I-MISC)  (?,.)",List,"Products, company, published, Tweenies, Game Time"
779,"(list,VERB) (the,DET) (products,NOUN) (of,ADP) (the,DET) (company,NOUN) (which,PRON) (published,VERB) (tweenies:,PROPN,B-MISC)  (game,PROPN,I-MISC)  (?,.)",list,"products,company,Tweenies: Game Time"
780,"(did,VERB) (nokia,NOUN,S-ORG)  (215,NUM) (has,VERB) (the,DET) (series,NOUN) (30+,NUM) (os,NOUN) (?,.)",yes/no,"nokia 215 , the series 30+ OS"
781,"(did,VERB) (nokia,NOUN,S-ORG)  (215,NUM) (has,VERB) (the,DET) (series,NOUN) (30+,NUM) (os,NOUN) (?,.)",Did,"nokia 215 ,has ,series ,30+ OS"
782,"(give,VERB) (me,PRON) (english,ADJ) (actors,NOUN) (starring,VERB) (in,ADP) (?,.)",List,"english actors, starring, lovesick"
783,"(give,VERB) (me,PRON) (english,ADJ) (actors,NOUN) (starring,VERB) (in,ADP) (?,.)",list,"english actors,starring ,lovesick"
784,"(gregg,PROPN,B-PER)  (toland,PROPN,E-PER)  (cinematographed,VERB) (how,ADV) (many,ADJ) (things,NOUN) (?,.)",how many,"gregg toladn, cinematographed, things"
785,"(gregg,PROPN,B-PER)  (toland,PROPN,E-PER)  (cinematographed,VERB) (how,ADV) (many,ADJ) (things,NOUN) (?,.)",how many,"Gregg Toland, cinematographed, things"
786,"(list,VERB) (the,DET) (agencies,NOUN) (located,VERB) (someplace,ADV) (lead,VERB) (by,ADP) (alex,PROPN,B-PER)  (?,.)",List,"agencies, Alex Chalk"
787,"(list,VERB) (the,DET) (agencies,NOUN) (located,VERB) (someplace,ADV) (lead,VERB) (by,ADP) (alex,PROPN,B-PER)  (?,.)",List,"agencies, located, Alex Chalk"
788,"(of,ADP) (the,DET) (people,NOUN) (that,PRON) (died,VERB) (of,ADP) (radiation,NOUN) (in,ADP) (los,PROPN,B-LOC)  (alamos,,PROPN,E-LOC)  (whose,PRON) (death,NOUN) (was,VERB) (an,DET) (accident,NOUN) (?,.)",whose,"radiation, Los Alamos, accident"
789,"(of,ADP) (the,DET) (people,NOUN) (that,PRON) (died,VERB) (of,ADP) (radiation,NOUN) (in,ADP) (los,PROPN,B-LOC)  (alamos,,PROPN,E-LOC)  (whose,PRON) (death,NOUN) (was,VERB) (an,DET) (accident,NOUN) (?,.)",whose,"people, died, radiation, Los Alamos, death, accident"
790,"(give,VERB) (me,PRON) (all,DET) (types,NOUN) (of,ADP) (eating,NOUN) (?,.)",Name,"types, eating disorders"
791,"(give,VERB) (me,PRON) (all,DET) (types,NOUN) (of,ADP) (eating,NOUN) (?,.)",give,"types,eating, disorders"
792,"(how,ADV) (many,ADJ) (solo,NOUN) (artists,NOUN) (were,VERB) (born,VERB) (in,ADP) (1966,NUM) (?,.)",how,"solo artists, born, 1966"
793,"(how,ADV) (many,ADJ) (solo,NOUN) (artists,NOUN) (were,VERB) (born,VERB) (in,ADP) (1966,NUM) (?,.)",How many,"solo artists, born, 1966"
794,"(how,ADV) (many,ADJ) (universities,NOUN) (participate,VERB) (in,ADP) (the,DET) (ncaa,PROPN,B-MISC)  (division,PROPN,I-MISC)  (i,PROPN,I-MISC)  (football,PROPN,I-MISC)  (bowl,PROPN,I-MISC)  (subdivision,PROPN,E-MISC)  (?,.)",How many,"Universities, NCAA Division I Football Bowl Subdivision"
795,"(how,ADV) (many,ADJ) (universities,NOUN) (participate,VERB) (in,ADP) (the,DET) (ncaa,PROPN,B-MISC)  (division,PROPN,I-MISC)  (i,PROPN,I-MISC)  (football,PROPN,I-MISC)  (bowl,PROPN,I-MISC)  (subdivision,PROPN,E-MISC)  (?,.)",how many,"universities, participate, NCAA Division, football bowl subdivision"
796,"(list,PROPN) (the,DET) (birth,NOUN) (city,NOUN) (of,ADP) (the,DET) (politicians,NOUN) (of,ADP) (democratic,PROPN,B-ORG)  (?,.)",List,"birth city, politicians, Democratic Party"
797,"(list,PROPN) (the,DET) (birth,NOUN) (city,NOUN) (of,ADP) (the,DET) (politicians,NOUN) (of,ADP) (democratic,PROPN,B-ORG)  (?,.)",list,"birth city, politicans, democratic party"
798,"(who,PRON) (was,VERB) (married,ADJ) (to,ADP) (president,PROPN) (chirac,PROPN) (?,.)",who,"married, president, chirac"
799,"(who,PRON) (was,VERB) (married,ADJ) (to,ADP) (president,PROPN) (chirac,PROPN) (?,.)",Who,"married, president, chirac"
800,"(where,ADV) (is,VERB) (the,DET) (senator,NOUN) (from,ADP) (whose,PRON) (successor,NOUN) (was,VERB) (james,PROPN,B-PER)  (belford,PROPN,E-PER)  (?,.)","where, whose","senator,successor,James belford"
801,"(where,ADV) (is,VERB) (the,DET) (senator,NOUN) (from,ADP) (whose,PRON) (successor,NOUN) (was,VERB) (james,PROPN,B-PER)  (belford,PROPN,E-PER)  (?,.)",Where,"senator, successor, James Belford"
802,"(what,PRON) (are,VERB) (the,DET) (movies,NOUN) (whose,PRON) (music,NOUN) (composer,NOUN) (uses,VERB) (a,DET) (hammond,PROPN,S-PER)  (organ,NOUN) (?,.)",WHAT,"MOVIES, MUSIC COMPOSER, HAMMOND ORGAN"
803,"(what,PRON) (are,VERB) (the,DET) (movies,NOUN) (whose,PRON) (music,NOUN) (composer,NOUN) (uses,VERB) (a,DET) (hammond,PROPN,S-PER)  (organ,NOUN) (?,.)",what,"movies, music, composer, Hammond organ"
804,"(which,PRON) (person,NOUN) (recorded,VERB) (the,DET) (most,ADJ) (singles,NOUN) (?,.)",which,"person, most, singles"
805,"(which,PRON) (person,NOUN) (recorded,VERB) (the,DET) (most,ADJ) (singles,NOUN) (?,.)",Which,"person, recorded, most, singles"
806,"(what,PRON) (is,VERB) (the,DET) (largest,ADJ) (metropolitan,ADJ) (area,NOUN) (in,ADP) (washington,PROPN,S-LOC)  (state,NOUN) (?,.)",What,"largest, metropolitan area, washington state"
807,"(what,PRON) (is,VERB) (the,DET) (largest,ADJ) (metropolitan,ADJ) (area,NOUN) (in,ADP) (washington,PROPN,S-LOC)  (state,NOUN) (?,.)",what,"largest, metropolitan, area, washington state"
808,"(was,VERB) (tommy,PROPN,B-PER)  (tucker's,PROPN,E-PER)  (tooth,PROPN) (animated,VERB) (by,ADP) (walt,PROPN,B-PER)  (disney,PROPN,E-PER)  (?,.)",was,"tommy, tucker's, tooth, animated, disney"
809,"(was,VERB) (tommy,PROPN,B-PER)  (tucker's,PROPN,E-PER)  (tooth,PROPN) (animated,VERB) (by,ADP) (walt,PROPN,B-PER)  (disney,PROPN,E-PER)  (?,.)",Was,"Tommy Tucker's Tooth, Walt Disney"
810,"(what,PRON) (is,VERB) (the,DET) (state,NOUN) (of,ADP) (origin,NOUN) (of,ADP) (thomas,PROPN,B-PER)  (pfyl,PROPN,E-PER)  (?,.)",What,"state, origin, Thomas Pfyl"
811,"(what,PRON) (is,VERB) (the,DET) (state,NOUN) (of,ADP) (origin,NOUN) (of,ADP) (thomas,PROPN,B-PER)  (pfyl,PROPN,E-PER)  (?,.)",what,"state, origin, Thomas Pfyl"
812,"(which,PRON) (birds,NOUN) (are,VERB) (protected,VERB) (under,ADP) (the,DET) (national,PROPN,B-ORG)  (parks,PROPN,I-ORG)  (and,CCONJ,I-ORG)  (wildlife,PROPN,I-ORG)  (act,PROPN,E-ORG)  (?,.)",Which,"birds, protected, National Parks, Wildlife Act"
813,"(which,PRON) (birds,NOUN) (are,VERB) (protected,VERB) (under,ADP) (the,DET) (national,PROPN,B-ORG)  (parks,PROPN,I-ORG)  (and,CCONJ,I-ORG)  (wildlife,PROPN,I-ORG)  (act,PROPN,E-ORG)  (?,.)",Which,"birds, protected, National Parks and Wildlife Act"
814,"(was,VERB) (love,NOUN) (hurts,VERB) (in,ADP) (short,ADJ) (cut,NOUN) (draw,VERB) (blood,NOUN) (?,.)",WAS,"LOVE, HURTS, SHORT, CUT, DRAW, BLOOD"
815,"(was,VERB) (love,NOUN) (hurts,VERB) (in,ADP) (short,ADJ) (cut,NOUN) (draw,VERB) (blood,NOUN) (?,.)",was,"Love,Hurts, Short Cut, Draw,Blood"
816,"(where,ADV) (in,ADP) (france,NOUN) (is,VERB) (sparkling,VERB) (wine,NOUN) (produced,VERB) (?,.)",Where,"france, sparkling wine, produced"
817,"(where,ADV) (in,ADP) (france,NOUN) (is,VERB) (sparkling,VERB) (wine,NOUN) (produced,VERB) (?,.)",where,"france, wine, produced"
818,"(how,ADV) (many,ADJ) (bands,NOUN) (are,VERB) (called,VERB) (queen,NOUN) (?,.)",How many,"bands, called, queen"
819,"(how,ADV) (many,ADJ) (bands,NOUN) (are,VERB) (called,VERB) (queen,NOUN) (?,.)",How many,"Bands, called, Queen"
820,"(where,ADV) (did,VERB) (hillel,NOUN) (slovak,NOUN) (die,VERB) (?,.)",where,"hillel slovak,die"
821,"(where,ADV) (did,VERB) (hillel,NOUN) (slovak,NOUN) (die,VERB) (?,.)",where,"hilledl, slovak, die"
822,"(what,PRON) (team,NOUN) (does,VERB) (john,PROPN,B-PER)  (mcgeever,PROPN,E-PER)  (play,VERB) (for,,ADP) (which,PRON) (also,ADV) (employed,VERB) (ben,PROPN,B-PER)  (dreith,PROPN,E-PER)  (at,ADP) (some,DET) (time,NOUN) (?,.)",What,"John McGeever, team, employed, Ben Dreith"
823,"(what,PRON) (team,NOUN) (does,VERB) (john,PROPN,B-PER)  (mcgeever,PROPN,E-PER)  (play,VERB) (for,,ADP) (which,PRON) (also,ADV) (employed,VERB) (ben,PROPN,B-PER)  (dreith,PROPN,E-PER)  (at,ADP) (some,DET) (time,NOUN) (?,.)",What,"team,John McGeever,play,employed,Ben Dreith"
824,"(janaka,PROPN,B-PER)  (thissakuttiarachchi,PROPN,E-PER)  (follows,VERB) (what,PRON) (religion,,NOUN) (which,PRON) (once,ADV) (employed,VERB) (atisa,PROPN,B-PER)  (srijnana,PROPN,E-PER)  (too,ADV) (?,.)",What,"Janaka Thissakuttiarachchi, religion, employed, Atisa Srijnana"
825,"(janaka,PROPN,B-PER)  (thissakuttiarachchi,PROPN,E-PER)  (follows,VERB) (what,PRON) (religion,,NOUN) (which,PRON) (once,ADV) (employed,VERB) (atisa,PROPN,B-PER)  (srijnana,PROPN,E-PER)  (too,ADV) (?,.)",What,"Janaka Thissakuttiarachchi, follows, religion, employed, Atisa Srijnana"
826,"(what,PRON) (is,VERB) (the,DET) (nationality,NOUN) (of,ADP) (the,DET) (successor,NOUN) (of,ADP) (nii,PROPN,B-PER)  (okaidja,PROPN,I-PER)  (adamafio,PROPN,E-PER)  (?,.)",What,"nationality, successor, Nii Okaidja Adamafio"
827,"(what,PRON) (is,VERB) (the,DET) (nationality,NOUN) (of,ADP) (the,DET) (successor,NOUN) (of,ADP) (nii,PROPN,B-PER)  (okaidja,PROPN,I-PER)  (adamafio,PROPN,E-PER)  (?,.)",What,"nationality, successor, Nii Okaidja Adamafio"
828,"(give,VERB) (me,PRON) (the,DET) (total,ADJ) (number,NOUN) (of,ADP) (lines,NOUN) (owned,VERB) (by,ADP) (owner,NOUN) (of,ADP) (mwtro-noth,PROPN,B-ORG)  (railroad,PROPN,E-ORG)  (?,.)",Give me,"total number, owner, Mwtro-North Railroad"
829,"(give,VERB) (me,PRON) (the,DET) (total,ADJ) (number,NOUN) (of,ADP) (lines,NOUN) (owned,VERB) (by,ADP) (owner,NOUN) (of,ADP) (mwtro-noth,PROPN,B-ORG)  (railroad,PROPN,E-ORG)  (?,.)",Give,"total,number,lines,owned,owner,Mwtro-Noth,Railroad"
830,"(are,VERB) (there,PRON) (bootleg,NOUN) (recordings,NOUN) (by,ADP) (pink,ADJ) (floyd,NOUN) (?,.)",yes/no,"bootleg recordings, pink floyd"
831,"(are,VERB) (there,PRON) (bootleg,NOUN) (recordings,NOUN) (by,ADP) (pink,ADJ) (floyd,NOUN) (?,.)",are there,"bootleg, recordings, pink floyd"
832,"(are,VERB) (the,DET) (rosetta,PROPN,B-MISC)  (stone,PROPN,E-MISC)  (and,CCONJ) (the,DET) (gayer-andersen,PROPN,S-MISC)  (cat,NOUN) (exhibited,VERB) (in,ADP) (the,DET) (same,ADJ) (museum,NOUN) (?,.)",Yes/No,"Rosetta Stone and the Gayer-Andersen cat ,exhibited ,same museum"
833,"(are,VERB) (the,DET) (rosetta,PROPN,B-MISC)  (stone,PROPN,E-MISC)  (and,CCONJ) (the,DET) (gayer-andersen,PROPN,S-MISC)  (cat,NOUN) (exhibited,VERB) (in,ADP) (the,DET) (same,ADJ) (museum,NOUN) (?,.)",Are,"Rosetta Stone, Gayer-Andersen, cat, exhibited, museum"
834,"(what,PRON) (is,VERB) (the,DET) (timezone,NOUN) (in,ADP) (san,X) (pedro,X) (de,X) (atacama,X) (?,.)",what,"timezone, san pedro, atacama"
835,"(what,PRON) (is,VERB) (the,DET) (timezone,NOUN) (in,ADP) (san,X) (pedro,X) (de,X) (atacama,X) (?,.)",What,"timezone, san pedro de atacama"
836,"(by,ADP) (which,PRON) (university,NOUN) (is,VERB) (the,DET) (literary,ADJ) (magazine,NOUN) (named,VERB) (stone,PROPN,B-PER)  (canoe,PROPN,E-PER)  (published,VERB) (?,.)",which,"university , literary, magazine, named ,Stone Canoe,published"
837,"(by,ADP) (which,PRON) (university,NOUN) (is,VERB) (the,DET) (literary,ADJ) (magazine,NOUN) (named,VERB) (stone,PROPN,B-PER)  (canoe,PROPN,E-PER)  (published,VERB) (?,.)",Which,"university, literary, magazine, Stone Canoe, published"
838,"(for,ADP) (which,PRON) (team,NOUN) (do,VERB) (guido,PROPN,B-PER)  (guerrini,PROPN,E-PER)  (and,CCONJ) (massimo,PROPN,B-PER)  (liverani,PROPN,E-PER)  (currently,ADV) (play,VERB) (for,ADP) (?,.)",Which,"Guido Guerrini, Massimo Liverani, team, currently play"
839,"(for,ADP) (which,PRON) (team,NOUN) (do,VERB) (guido,PROPN,B-PER)  (guerrini,PROPN,E-PER)  (and,CCONJ) (massimo,PROPN,B-PER)  (liverani,PROPN,E-PER)  (currently,ADV) (play,VERB) (for,ADP) (?,.)",which,"team,guido guerrini,massimo liverani,currently,play"
840,"(when,ADV) (did,VERB) (dave,VERB) (grohl,NOUN) (join,VERB) (nirvana,NOUN) (?,.)",when,"dave grohl, join, nirvana"
841,"(when,ADV) (did,VERB) (dave,VERB) (grohl,NOUN) (join,VERB) (nirvana,NOUN) (?,.)",When,"dave grohl,join,nirvana"
842,"(which,PRON) (actress,NOUN) (starring,VERB) (in,ADP) (the,DET) (tv,NOUN) (series,NOUN) (friends,PROPN) (owns,VERB) (the,DET) (production,NOUN) (company,NOUN) (coquette,PROPN,B-ORG)  (productions,PROPN,E-ORG)  (?,.)",List,"actress, starring TV series Friends, owns, production company Coquette Productions"
843,"(which,PRON) (actress,NOUN) (starring,VERB) (in,ADP) (the,DET) (tv,NOUN) (series,NOUN) (friends,PROPN) (owns,VERB) (the,DET) (production,NOUN) (company,NOUN) (coquette,PROPN,B-ORG)  (productions,PROPN,E-ORG)  (?,.)",Which,"actress, TV series, Friends, owns, production company, Coquette Productions"
844,"(is,VERB) (plymouth,PROPN,S-LOC)  (high,ADJ) (school,NOUN) (for,ADP) (girls,NOUN) (in,ADP) (devon,PROPN,S-LOC)  (county,NOUN) (?,.)",Yes/no,"Plymouth high school, girls, devon county"
845,"(is,VERB) (plymouth,PROPN,S-LOC)  (high,ADJ) (school,NOUN) (for,ADP) (girls,NOUN) (in,ADP) (devon,PROPN,S-LOC)  (county,NOUN) (?,.)",Is,"Plymouth High School for Girls, Devon county"
846,"(what,PRON) (is,VERB) (the,DET) (governing,VERB) (body,NOUN) (of,ADP) (fort,PROPN,B-LOC)  (monroe,PROPN,E-LOC)  (?,.)",WHAT,"GOVERNING,BODY,FORT MONROE"
847,"(what,PRON) (is,VERB) (the,DET) (governing,VERB) (body,NOUN) (of,ADP) (fort,PROPN,B-LOC)  (monroe,PROPN,E-LOC)  (?,.)",What,"Governing body, Fort Monroe"
848,"(name,VERB) (the,DET) (tv,NOUN) (show,NOUN) (with,ADP) (artist,NOUN) (christopher,PROPN,B-PER)  (franke,PROPN,E-PER)  (and,CCONJ) (cast,NOUN) (member,NOUN) (jason,PROPN,B-PER)  (carter,PROPN,E-PER)  (?,.)",Name,"TV show, Christopher Franke, Jason Carter"
849,"(name,VERB) (the,DET) (tv,NOUN) (show,NOUN) (with,ADP) (artist,NOUN) (christopher,PROPN,B-PER)  (franke,PROPN,E-PER)  (and,CCONJ) (cast,NOUN) (member,NOUN) (jason,PROPN,B-PER)  (carter,PROPN,E-PER)  (?,.)",Name,"TV show,artis,Christopher Franke,Cast member,Jason Carter"
850,"(gaborone,PROPN,S-LOC)  (is,VERB) (the,DET) (capital,NOUN) (of,ADP) (which,PRON) (country,NOUN) (member,NOUN) (of,ADP) (the,DET) (african,PROPN,B-ORG)  (union,PROPN,E-ORG)  (?,.)",Which,"gaborone, capital, country, member, african union"
851,"(gaborone,PROPN,S-LOC)  (is,VERB) (the,DET) (capital,NOUN) (of,ADP) (which,PRON) (country,NOUN) (member,NOUN) (of,ADP) (the,DET) (african,PROPN,B-ORG)  (union,PROPN,E-ORG)  (?,.)",gaborone,"capital,country,african,union"
852,"(list,VERB) (the,DET) (common,ADJ) (sports,NOUN) (played,VERB) (by,ADP) (polytechnic,PROPN,B-ORG)  (university,PROPN,I-ORG)  (of,ADP,I-ORG)  (the,DET) (philippines,PROPN,I-ORG)  (bataan,PROPN,E-ORG)  (and,CCONJ) (jamiatu,PROPN,B-LOC)  (muslim,PROPN,I-LOC)  (mindanao,PROPN,E-LOC)  (?,.)",list,"common,sports,Polytechnic University of the Philippines Bataan,jamiatu Muslim Mindanao"
853,"(list,VERB) (the,DET) (common,ADJ) (sports,NOUN) (played,VERB) (by,ADP) (polytechnic,PROPN,B-ORG)  (university,PROPN,I-ORG)  (of,ADP,I-ORG)  (the,DET) (philippines,PROPN,I-ORG)  (bataan,PROPN,E-ORG)  (and,CCONJ) (jamiatu,PROPN,B-LOC)  (muslim,PROPN,I-LOC)  (mindanao,PROPN,E-LOC)  (?,.)",List,"common, sports, Polytechnic University, Philippines Bataan, Jamiatu Muslim Mindanao"
854,"(give,VERB) (me,PRON) (a,DET) (count,NOUN) (of,ADP) (companies,NOUN) (located,VERB) (in,ADP) (texas,PROPN,S-LOC)  (?,.)",Give,"companies,texas,count"
855,"(give,VERB) (me,PRON) (a,DET) (count,NOUN) (of,ADP) (companies,NOUN) (located,VERB) (in,ADP) (texas,PROPN,S-LOC)  (?,.)",Give,"count, companies, located, texas"
856,"(who,PRON) (created,VERB) (the,DET) (single,ADJ) (the,DET) (girl,NOUN) (is,VERB) (mine,PRON) (?,.)",who,"created, single, the girl is mine"
857,"(who,PRON) (created,VERB) (the,DET) (single,ADJ) (the,DET) (girl,NOUN) (is,VERB) (mine,PRON) (?,.)",Who,"created, single, the girl is mine"
858,"(which,PRON) (artist,NOUN) (married,VERB) (to,ADP) (lee,PROPN,B-PER)  (krasner,PROPN,E-PER)  (?,.)",Which,"artist,married,Lee Krasner"
859,"(which,PRON) (artist,NOUN) (married,VERB) (to,ADP) (lee,PROPN,B-PER)  (krasner,PROPN,E-PER)  (?,.)",Which,"artist, married, Lee Krasner"
860,"(how,ADV) (many,ADJ) (television,NOUN) (shows,NOUN) (are,VERB) (broadcasted,VERB) (on,ADP) (fox,PROPN,B-ORG)  (broadcasting,PROPN,I-ORG)  (company,PROPN,E-ORG)  (?,.)",How many,"television shows, broadcasted, Fox Broadcasting Company"
861,"(how,ADV) (many,ADJ) (television,NOUN) (shows,NOUN) (are,VERB) (broadcasted,VERB) (on,ADP) (fox,PROPN,B-ORG)  (broadcasting,PROPN,I-ORG)  (company,PROPN,E-ORG)  (?,.)",how many,"television shows, broadcasted, Fox Broadcasting Company"
862,"(who,PRON) (was,VERB) (vice,NOUN) (president,NOUN) (under,ADP) (the,DET) (president,NOUN) (who,PRON) (authorized,VERB) (atomic,ADJ) (weapons,NOUN) (against,ADP) (japan,NOUN,S-LOC)  (during,ADP) (world,NOUN) (war,NOUN) (ii,NOUN) (?,.)",who,"vice president,president ,authorized ,atomic weapons,japan ,world war ii"
863,"(who,PRON) (was,VERB) (vice,NOUN) (president,NOUN) (under,ADP) (the,DET) (president,NOUN) (who,PRON) (authorized,VERB) (atomic,ADJ) (weapons,NOUN) (against,ADP) (japan,NOUN,S-LOC)  (during,ADP) (world,NOUN) (war,NOUN) (ii,NOUN) (?,.)",who,"vice president, authorized, atomic weapons, japan, world war II"
864,"(name,VERB) (the,DET) (company,NOUN) (whose,PRON) (one,NUM) (of,ADP) (the,DET) (product,NOUN) (is,VERB) (pixar,PROPN,B-ORG)  (image,PROPN,I-ORG)  (computer,PROPN,E-ORG)  (and,CCONJ) (has,VERB) (one,NUM) (of,ADP) (the,DET) (key,ADJ) (person,NOUN) (as,ADP) (edwin,PROPN,B-PER)  (catmull,PROPN,E-PER)  (?,.)",What,"company, Pixar Image Computer, Edwin Catmull"
865,"(name,VERB) (the,DET) (company,NOUN) (whose,PRON) (one,NUM) (of,ADP) (the,DET) (product,NOUN) (is,VERB) (pixar,PROPN,B-ORG)  (image,PROPN,I-ORG)  (computer,PROPN,E-ORG)  (and,CCONJ) (has,VERB) (one,NUM) (of,ADP) (the,DET) (key,ADJ) (person,NOUN) (as,ADP) (edwin,PROPN,B-PER)  (catmull,PROPN,E-PER)  (?,.)",whose,"Name , company , one , product , Pixar , Image , Computer , key person, Edwin Catmull"
866,"(which,PRON) (street,NOUN) (basketball,NOUN) (player,NOUN) (was,VERB) (diagnosed,VERB) (with,ADP) (sarcoidosis,PROPN,S-MISC)  (?,.)",Which,"Street  basketball,  player, diagnosed, Sarcoidosis"
867,"(which,PRON) (street,NOUN) (basketball,NOUN) (player,NOUN) (was,VERB) (diagnosed,VERB) (with,ADP) (sarcoidosis,PROPN,S-MISC)  (?,.)",which,"street, basketball player, diagnosed, sarcoidosis"
